nama,id,kode,tingkat
Gunung Agung,123414,1708012005,4
Keban Agung,123409,1708011007,4
Kembang Seri,123411,1708012002,4
Kota Agung,123410,1708012001,4
Langgar Jaya,123426,1708012028,4
Lembur Lama,123417,1708012009,4
Muara Langkap,123424,1708012024,4
Pagar Agung,123412,1708012003,4
Sosokan Cinta Mandi,123423,1708012023,4
Taba Baru,123418,1708012010,4
Talang Pito,123415,1708012006,4
Talang Sawah,123422,1708012022,4
Air Sempiang,123501,1708062006,4
Babakan Bogor,123503,1708062008,4
Bandung Baru,123497,1708062001,4
Bandung Jaya,123510,1708062015,4
Barat Wetan,123504,1708062009,4
Bukit Sari,123498,1708062002,4
Mekar Sari,123507,1708062012,4
Pematang Donok,123505,1708062010,4
Sido Makmur,123508,1708062013,4
Sido Rejo,123509,1708062014,4
Suka Sari,123500,1708062004,4
Sumber Sari,123506,1708062011,4
Tangsi Baru,123496,1708061005,4
Tangsi Duren,123502,1708062007,4
Tugu Rejo,123499,1708062003,4
Bogor Baru,123483,1708042028,4
Dusun Kepahiang,123465,1708041011,4
Imigrasi Permu,123472,1708042007,4
Kampung Bogor,123475,1708042010,4
Kampung Pensiunan,123466,1708041025,4
Karang Anyar,123477,1708042013,4
Karang Endah,123473,1708042008,4
Kelilik,123469,1708042001,4
Kelobak,123480,1708042016,4
Kuto Rejo,123476,1708042012,4
Padang Lekat,123468,1708041027,4
Pagar Gunung,123481,1708042017,4
Pasar Kepahiangan,123463,1708041004,4
Pasar Sejantung,123467,1708041026,4
Pasar Ujung,123464,1708041005,4
Pelangkian,123479,1708042015,4
Pensiunan,123462,1708041003,4
Permu,123471,1708042006,4
Permu Bawah,123484,1708042029,4
Sukamerindu,123482,1708042023,4
Taba Tebelet,123478,1708042014,4
Tebat Monok,123470,1708042002,4
Westkust,123474,1708042009,4
Batu Ampar,123493,1708052007,4
