nama,id,kode,tingkat
Teluk Dalam,104194,110905,3
Teupah Barat,104157,110903,3
Teupah Selatan,104220,110907,3
Teupah Tengah,104249,110909,3
Batee,102491,110703,3
Delima,102521,110704,3
Geumpang,102566,110705,3
Glumpang Baro,103208,110729,3
Glumpang Tiga,102572,110706,3
Grong-grong,103187,110725,3
Indrajaya,102607,110707,3
Kembang Tanjong,102657,110708,3
Keumala,102449,110722,3
Kota Sigli,102703,110709,3
Mane,103203,110727,3
Mila,102719,110711,3
Muara Tiga,102740,110712,3
Mutiara,102759,110713,3
Mutiara Timur,103138,110724,3
Padang Tiji,102789,110714,3
Peukan Baro,102854,110715,3
Pidie,102903,110716,3
Sakti,102968,110717,3
Simpang Tiga,103018,110718,3
Tangse,103071,110719,3
Tiro/truseb,103100,110721,3
Titeue,103230,110731,3
Bandar Baru,106364,111806,3
Bandar Dua,106298,111804,3
Jangka Buya,106279,111803,3
Meurah Dua,106344,111805,3
Meureudu,106217,111801,3
Panteraja,106408,111807,3
Trienggadeng,106419,111808,3
Ulim,106248,111802,3
Cipocok Jaya,154895,367305,3
Curug,154884,367304,3
Kasemen,154858,367302,3
Serang,154845,367301,3
Taktakan,154904,367306,3
Walantaka,154869,367303,3
Batuceper,154693,367103,3
Benda,154701,367104,3
Cibodas,154750,367109,3
Ciledug,154718,367106,3
Cipondoh,154707,367105,3
Jatiuwung,154686,367102,3
Karang Tengah,154777,367112,3
Karawaci,154727,367107,3
Larangan,154785,367113,3
Neglasari,154757,367110,3
Periuk,154744,367108,3
Pinang,154765,367111,3
Tangerang,152248,367101,3
Ciputat,154948,367404,3
Ciputat Timur,154956,367405,3
Pamulang,154963,367406,3
Pondok Aren,154936,367403,3
Serpong,154918,367401,3
Serpong Utara,154928,367402,3
Setu,154972,367407,3
Banjarsari,153750,360209,3
Bayah,153674,360203,3
Bojongmanik,153727,360207,3
Cibadak,153890,360218,3
Cibeber,153906,360219,3
Cigemlong,154013,360228,3
Cihara,153991,360226,3
Cijaku,153863,360216,3
Cikulur,153875,360217,3
Cileles,153771,360210,3
Cilograng,153929,360220,3
Cimarga,153784,360211,3
Cipanas,153686,360204,3
Cirinten,154002,360227,3
Curug Bitung,153965,360223,3
Gunungkencana,153737,360208,3
Kalanganyar,153976,360224,3
Lebakgedong,153984,360225,3
Leuwidamar,153714,360206,3
Maja,153818,360213,3
Malingping,153647,360201,3
Muncang,153701,360205,3
Panggarangan,153662,360202,3
Rangkasbitung,153833,360214,3
Sajira,153802,360212,3
Sobang,153954,360222,3
Wanasalam,153940,360221,3
Warunggunung,153850,360215,3
Angsana,153336,360107,3
Banjar,153491,360120,3
Bojong,153370,360110,3
Cadasari,153508,360122,3
Carita,153568,360128,3
Cibaliung,153293,360103,3
Cibitung,153557,360127,3
Cigeulis,153319,360105,3
Cikedal,153546,360126,3
Cikeusik,153303,360104,3
Cimanggu,153280,360102,3
Cimanuk,153468,360118,3
Cipeucang,153427,360115,3
Cisata,153520,360123,3
Jiput,153438,360116,3
Kaduhejo,153480,360119,3
Karang Tanjung,153541,360125,3
Koroncong,153619,360133,3
Labuan,153389,360112,3
Majasari,153632,360134,3
Mandalawangi,153452,360117,3
Mekarjaya,153590,360130,3
Menes,153399,360113,3
Munjul,153346,360108,3
Pagelaran,153356,360109,3
Pandeglang,153503,360121,3
Panimbang,153329,360106,3
Patia,153530,360124,3
Picung,153379,360111,3
Pulosari,153609,360132,3
Saketi,153412,360114,3
Sindangresmi,153599,360131,3
Sobang,153638,360135,3
Sukaresmi,153579,360129,3
Sumur,153272,360101,3
Anyar,154608,360430,3
Bandung,154658,360434,3
Baros,154507,360422,3
Binuang,154473,360418,3
Bojonegara,154353,360407,3
Carenang,154464,360417,3
Cikande,154440,360415,3
Cikeusal,154522,360423,3
Cinangka,149800,360431,3
Ciomas,154572,360427,3
Ciruas,154375,360409,3
Gunungsari,154650,360433,3
Jawilan,154562,360426,3
Kibin,154454,360416,3
Kopo,154551,360425,3
Kragilan,149627,360411,3
Kramatwatu,154325,360405,3
Lebak Wangi,154667,360435,3
Mancak,154635,360432,3
Pabuaran,154584,360428,3
Padarincang,154593,360429,3
Pamarayan,154540,360424,3
Petir,154481,360419,3
Pontang,154403,360412,3
Pulo Ampel,154365,360408,3
Tanara,154430,360414,3
Tirtayasa,154415,360413,3
Tunjung Teja,154497,360420,3
Waringinkurung,154341,360406,3
Abiansemal,155206,510303,3
Kuta,155179,510301,3
Kuta Selatan,153311,510305,3
Kuta Utara,155239,510306,3
Mengwi,155185,510302,3
Petang,155225,510304,3
Balaraja,154022,360301,3
Cikupa,154210,360318,3
Cisauk,154258,360323,3
Cisoka,154067,360305,3
Curug,154202,360317,3
Gunung Kaler,154306,360332,3
Jambe,154056,360304,3
Jayanti,154032,360302,3
Kelapa Dua,154274,360328,3
Kemiri,154112,360309,3
Kosambi,154167,360314,3
Kresek,154078,360306,3
Kronjo,154088,360307,3
